month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2017-08-01,Bronx,LCL/LTD,BX1,Off-Peak,219531.6357,2.051653118,0.696009701,0.701999545
2017-08-01,Bronx,LCL/LTD,BX1,Peak,144822.4045,1.963801184,0.855400429,0.683975101
2017-08-01,Bronx,LCL/LTD,BX10,Off-Peak,142222.1974,1.262757028,0.150510701,0.782773277
2017-08-01,Bronx,LCL/LTD,BX10,Peak,98257.1695,0.869034686,-0.195988741,0.856885107
2017-08-01,Bronx,LCL/LTD,BX11,Off-Peak,177312.8567,1.555326883,0.22830984,0.772575616
2017-08-01,Bronx,LCL/LTD,BX11,Peak,131424.8371,1.323968038,0.13293955,0.801697181
2017-08-01,Bronx,LCL/LTD,BX12,Off-Peak,172113.2613,1.152939788,-0.027915737,0.819875261
2017-08-01,Bronx,LCL/LTD,BX12,Peak,91489.0838,1.329719741,-0.052048073,0.787922742
2017-08-01,Bronx,SBS,BX12+,Off-Peak,406231.5808,0.955439584,0.822900011,0.757433578
2017-08-01,Bronx,SBS,BX12+,Peak,271561.5231,1.010554992,0.999829616,0.766175137
2017-08-01,Bronx,LCL/LTD,BX13,Off-Peak,175536.8929,1.229041301,0.38447326,0.791259495
2017-08-01,Bronx,LCL/LTD,BX13,Peak,116598.7658,1.353314848,0.080462928,0.81438804
2017-08-01,Bronx,LCL/LTD,BX15,Off-Peak,346648.7095,2.545093835,1.189841636,0.658706313
2017-08-01,Bronx,LCL/LTD,BX15,Peak,223538.7063,1.915988813,0.530682279,0.728250031
2017-08-01,Bronx,LCL/LTD,BX16,Off-Peak,100510.6601,1.794933607,0.730066434,0.744378198
2017-08-01,Bronx,LCL/LTD,BX16,Peak,73813.0191,1.263392963,0.579740048,0.77156545
2017-08-01,Bronx,LCL/LTD,BX17,Off-Peak,145317.4013,2.440069192,0.568305149,0.70456878
2017-08-01,Bronx,LCL/LTD,BX17,Peak,104463.6091,1.640293014,0.188561408,0.769144244
2017-08-01,Bronx,LCL/LTD,BX18,Off-Peak,26020.5897,3.323643617,-0.291641831,0.672136523
2017-08-01,Bronx,LCL/LTD,BX18,Peak,22621.428,2.163317378,-0.343984209,0.703578386
2017-08-01,Bronx,LCL/LTD,BX19,Off-Peak,384453.0941,2.106883244,1.045955821,0.681773522
2017-08-01,Bronx,LCL/LTD,BX19,Peak,240402.7741,1.657920405,0.762697874,0.733232731
2017-08-01,Bronx,LCL/LTD,BX2,Off-Peak,302413.461,1.79297815,0.138306551,0.737131893
2017-08-01,Bronx,LCL/LTD,BX2,Peak,156550.7098,1.601318095,0.12406733,0.755884851
2017-08-01,Bronx,LCL/LTD,BX20,Off-Peak,2418.0671,1.970876045,1.013469803,0.783823948
2017-08-01,Bronx,LCL/LTD,BX20,Peak,12867.3054,1.595126277,0.55528563,0.799321488
2017-08-01,Bronx,LCL/LTD,BX21,Off-Peak,212939.4109,2.00089927,0.817713023,0.707018669
2017-08-01,Bronx,LCL/LTD,BX21,Peak,147408.6999,1.489070881,0.159733492,0.779072566
2017-08-01,Bronx,LCL/LTD,BX22,Off-Peak,174914.8805,1.606323869,0.339803,0.783173425
2017-08-01,Bronx,LCL/LTD,BX22,Peak,118104.429,1.46744886,0.31017015,0.782828768
2017-08-01,Bronx,LCL/LTD,BX23,Off-Peak,39773.9756,3.521552853,-0.1882144,0.74082924
2017-08-01,Bronx,LCL/LTD,BX23,Peak,43429.566,1.574043338,-0.281034184,0.835683893
2017-08-01,Bronx,LCL/LTD,BX24,Off-Peak,10330.0069,2.262865372,0.53642727,0.830963356
2017-08-01,Bronx,LCL/LTD,BX24,Peak,6123.8018,2.073241022,-0.042103714,0.896097682
2017-08-01,Bronx,LCL/LTD,BX26,Off-Peak,106117.3114,1.369577067,0.746128114,0.762370017
2017-08-01,Bronx,LCL/LTD,BX26,Peak,76858.1238,0.861069396,-0.466432248,0.84685917
2017-08-01,Bronx,LCL/LTD,BX27,Off-Peak,118610.6508,1.077343487,0.323615316,0.825858537
2017-08-01,Bronx,LCL/LTD,BX27,Peak,88531.0242,0.872177136,-0.150241769,0.86226483
